,created_at,likes,retweets,source,text
99,2019-10-22 05:18:02,19190.0,3572.0,Twitter for iPhone,"India’s Nari Shakti epitomises talent and tenacity, determination and dedication. 

Our ethos has always taught us… https://t.co/hLyzsYxjvz"
100,2019-10-22 02:30:19,17866.0,2955.0,Twitter for iPhone,24 अक्टूबर को मैं अपने संसदीय क्षेत्र वाराणसी के कार्यकर्ताओं से संवाद करूंगा। इसमें शामिल होने के लिए मैं अपने सभी… https://t.co/W6cWZ0UixS
101,2019-10-22 02:04:41,55027.0,8188.0,Twitter for iPhone,"कर्मठ, अनुभवी, कुशल संगठनकर्ता एवं मंत्रिमंडल में मेरे सहयोगी अमित शाह जी को जन्मदिन की ढेरों शुभकामनाएं। सरकार में… https://t.co/jz4bPj7o7K"
102,2019-10-21 16:28:36,10409.0,1843.0,Twitter for iPhone,Had a great interaction with the US India Strategic Partnership Forum. Talked about India’s strides in the world of… https://t.co/YVgKHrvk7w
103,2019-10-21 06:03:40,5266.0,876.0,Twitter for iPhone,"Selamat kepada Presiden @jokowi atas permulaan masa jabatan Presiden kedua kalinya di Indonesia, tetangga dekat mar… https://t.co/VPWkAGHotK"
104,2019-10-21 04:23:55,17838.0,2458.0,Twitter Web App,"Heartiest congratulations to President @jokowi on the commencement of his second Presidential term in Indonesia, ou… https://t.co/34tHKO5n1T"
105,2019-10-21 03:06:22,9282.0,1632.0,Twitter for iPhone,"Last year, the National Police Memorial was dedicated to the nation. This Memorial is a place of inspiration and gr… https://t.co/AWspyDS4lL"
106,2019-10-21 03:05:59,19866.0,2946.0,Twitter for iPhone,"We salute our police forces, their families and remember with pride those brave police personnel martyred in the li… https://t.co/QhJzFj9Fgr"
107,2019-10-21 01:32:05,20229.0,3293.0,Twitter for iPhone,Elections are taking place for Haryana and Maharashtra assemblies. There are also by-polls taking place in various… https://t.co/w6QFDYsR2N
108,2019-10-21 01:31:33,32913.0,4061.0,Twitter for iPhone,हरियाणा विधानसभा चुनाव के लिए आज मतदान का दिन है। सभी मतदाताओं से मेरा अनुरोध है कि वे अपना वोट जरूर डालें और लोकतं… https://t.co/ib0M1V7YrW
109,2019-10-21 01:31:18,21331.0,3410.0,Twitter for iPhone,"आज महाराष्ट्राची जनता पुढील पाच वर्षे कोणाला सरकार चालविण्याची संधी द्यायची हे ठरविणार आहेत.

 तेव्हा महाराष्ट्राती… https://t.co/VR29UUJjSl"
110,2019-10-20 16:21:32,14470.0,2305.0,Twitter for iPhone,"Thank you @Actor_Vivek! 

Respect for nature is a key part of our ethos. Nature manifests divinity and greatness.… https://t.co/SCUVnkYCEg"
111,2019-10-20 16:21:03,19158.0,3340.0,Twitter for iPhone,"Glad to be expressing myself in the world’s oldest language, which has nurtured a vibrant culture. 

The Tamil lang… https://t.co/724cZtCPhV"
112,2019-10-20 16:19:45,7772.0,1024.0,Twitter for iPhone,Thank you! https://t.co/DDPOqRnnmh
113,2019-10-20 15:28:06,20544.0,2743.0,Twitter for iPhone,"Released the book, ‘Bridgital Nation: Solving Technology’s People Problem’ written by N. Chandrasekaran and Roopa P… https://t.co/uqc5LkQiVR"
114,2019-10-20 04:31:30,24922.0,5768.0,Twitter for iPhone,Here is a Tamil translation of the poem I wrote while I was at the picturesque shores of Mamallapuram a few days ag… https://t.co/tXy74KjOW5
115,2019-10-20 04:30:30,35227.0,4475.0,Twitter for iPhone,"When every citizen works Dil Se, the outcome will be exceptional. 

We will leave no stone unturned to carry forwar… https://t.co/1bd92UFKZK"
116,2019-10-20 04:29:58,16096.0,1658.0,Twitter for iPhone,"Happy to have interacted with you!

Let us work together to make Gandhi 150 a super hit. @taran_adarsh https://t.co/uIUsbZIMfI"
117,2019-10-20 04:28:58,7891.0,1207.0,Twitter for iPhone,"Keep up the good work, @RajkumarHirani. 

The coming generations will remember your stupendous role in spreading th… https://t.co/lqPqhWNIEZ"
118,2019-10-20 04:27:03,16614.0,1719.0,Twitter for iPhone,Happy to have met you Varun. Best wishes for your future endeavours. @varunsharma90 https://t.co/uJRn0x0UAv
119,2019-10-20 04:26:24,15720.0,2040.0,Twitter for iPhone,"Through popular culture, the message of empowering women has travelled far and wide. May this trend continue.

May… https://t.co/OjIqzKZt45"
120,2019-10-20 04:24:48,10555.0,1288.0,Twitter for iPhone,"Lovely indeed!

Had the wonderful opportunity to interact with @sonamakapoor yesterday. 

Best wishes to your entir… https://t.co/dlYf3OljUp"
121,2019-10-20 04:22:12,16142.0,1639.0,Twitter for iPhone,Yes it does! Individual efforts can pave the way for transformative outcomes. @Rakulpreet https://t.co/CcNWlrJbq7
122,2019-10-20 04:21:24,13171.0,1447.0,Twitter for iPhone,"Films connect and make our society better. 

Happy to have met you, @itsBhushanKumar. https://t.co/siTK0nwHbq"
123,2019-10-20 04:19:58,35415.0,3181.0,Twitter for iPhone,"बहुत-बहुत धन्यवाद @KapilSharmaK9 जी।

पूज्य बापू के विचारों के प्रचार-प्रसार में फिल्म और मनोरंजन जगत की भूमिका से… https://t.co/JCCfyc1j0n"
124,2019-10-19 16:15:01,55119.0,6961.0,Twitter Web App,"Our film and entertainment industry is diverse and vibrant. 

Its impact internationally is also immense. 

Our fil… https://t.co/sKuOY6CxXM"
